Item Number,Description,Size 1,Size 2,Store,Dept.,Category,SubCat,Vendor,Order Number,OnHand,OnOrder,Layaway,Committed,Cost,PriceUnits,Price,YTD Sales,OrdPt,OrdUp2,LastSale,G/L,Bin Location
80B,Custom Tau Mu polka dot tees,XS,RED,1,7,!Undefined,!Undefined,,80B,0,0,0,0,13,1,16.5,0,0,0,20091217,120010,
80B,Custom Tau Mu polka dot tees,XS,WHITE,1,7,!Undefined,!Undefined,,80B,0,0,0,0,11.12,1,16.5,0,0,0,0,120010,
80C,Custom solid Tau Mu tees,L,RED,1,7,!Undefined,!Undefined,,80C,0,0,0,0,11.12,1,16.5,0,0,0,0,120010,
80C,Custom solid Tau Mu tees,M,RED,1,7,!Undefined,!Undefined,,80C,0,0,0,0,13,1,16.5,0,0,0,20091217,120010,
80C,Custom solid Tau Mu tees,S,RED,1,7,!Undefined,!Undefined,,80C,0,0,0,0,13,1,16.5,0,0,0,20091217,120010,
80C,Custom solid Tau Mu tees,XS,RED,1,7,!Undefined,!Undefined,,80C,0,0,0,0,13,1,16.5,0,0,0,20091217,120010,
81,Owl Infant Bib,6MO,BLUE,1,1,10,!Undefined,390,81,0,0,0,0,6,1,13,0,0,0,0,120010,
81,Owl Infant Bib,ONE SIZE,BLUE,1,1,10,!Undefined,390,81,0,0,0,0,6,1,13,4,0,0,20150320,120010,
81,Owl Infant Bib,ONE SIZE,PINK,1,1,10,!Undefined,390,81,1,0,0,0,6,1,13,0,0,0,20130429,120010,
81,Owl Infant Bib,ONE SIZE,WHITE,1,1,10,!Undefined,390,81,0,0,0,0,6,1,13,0,0,0,0,120010,
81,Owl Infant Bib,ONE SIZE,YELLOW,1,1,10,!Undefined,390,81,0,0,0,0,6,1,13,8,0,0,20150302,120010,
810,Clipboard with notepad,,,1,2,!Undefined,!Undefined,4,810,0,0,0,0,2.95,1,13.5,60,0,0,20141103,120010,
811,"Double Tassel Necklace-26""",,,1,4,!Undefined,!Undefined,416,38016,8,0,0,0,6.5,1,20,0,0,0,0,120010,
812,Custom Zeta Mu Make-A-Wish tee,L,BLUE,1,9,!Undefined,!Undefined,369,V-NECK DT5501-ROYAL,0,0,0,0,11,1,13.75,137.5,0,0,20141017,120010,
812,Custom Zeta Mu Make-A-Wish tee,M,BLUE,1,9,!Undefined,!Undefined,369,V-NECK DT5501-ROYAL,0,0,0,0,11,1,13.75,137.5,0,0,20141017,120010,
